Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,IWM,QQQ,IWM,QQQ,IWM,QQQ,IWM,QQQ,IWM,QQQ,IWM,QQQ
Date,,,,,,,,,,,,
2024-02-01,193.1676788330078,419.3877258300781,195.44000244140625,421.8800048828125,195.74000549316406,422.3800048828125,191.52999877929688,417.80999755859375,194.30999755859375,418.7900085449219,59479000,51008600
2024-02-02,192.149658203125,426.4756164550781,194.41000366210938,429.010009765625,195.5,430.239990234375,192.38999938964844,422.7900085449219,193.24000549316406,423.79998779296875,52825000,59582300
2024-02-05,189.70838928222656,425.9189147949219,191.94000244140625,428.45001220703125,193.11000061035156,429.6099853515625,190.05999755859375,425.0,192.47000122070312,429.07000732421875,39751900,39889200
2024-02-06,191.4182586669922,425.0639953613281,193.6699981689453,427.5899963378906,193.8000030517578,430.2200012207031,191.02000427246094,425.2200012207031,191.6999969482422,429.6099853515625,34689100,35846100
2024-02-07,190.97349548339844,429.43798828125,193.22000122070312,431.989990234375,194.14999389648438,432.8299865722656,192.0399932861328,429.0899963378906,194.07000732421875,430.4100036621094,31713900,37712700
2024-02-08,193.8694305419922,430.2333068847656,196.14999389648438,432.7900085449219,196.3699951171875,433.55999755859375,192.7100067138672,431.4200134277344,193.36000061035156,432.1099853515625,35370800,29889900
2024-02-09,197.02235412597656,434.46807861328125,199.33999633789062,437.04998779296875,199.5500030517578,437.8500061035156,196.4499969482422,433.1400146484375,196.9199981689453,433.94000244140625,46107100,36943900
2024-02-12,200.60025024414062,432.7681884765625,202.9600067138672,435.3399963378906,203.5500030517578,439.1400146484375,199.83999633789062,434.6499938964844,199.8699951171875,436.94000244140625,43291000,33203300
2024-02-13,192.3473358154297,426.018310546875,194.61000061035156,428.54998779296875,197.6300048828125,431.2699890136719,193.05999755859375,425.3299865722656,196.22000122070312,427.2799987792969,86247400,64491700
2024-02-14,196.81478881835938,430.66070556640625,199.1300048828125,433.2200012207031,199.7899932861328,433.6499938964844,196.22999572753906,428.8800048828125,197.67999267578125,431.260009765625,43808000,45092700
2024-02-15,202.0630340576172,431.9430847167969,204.44000244140625,434.510009765625,204.77000427246094,434.9800109863281,200.72000122070312,431.3299865722656,200.99000549316406,433.9200134277344,44931900,38796100
2024-02-16,199.31536865234375,428.02642822265625,201.66000366210938,430.57000732421875,203.6999969482422,434.989990234375,201.08999633789062,429.8500061035156,202.1199951171875,434.8900146484375,48318300,53661500
2024-02-20,196.5677032470703,424.79559326171875,198.8800048828125,427.32000732421875,199.72000122070312,430.0799865722656,198.00999450683594,423.5,199.14999389648438,428.54998779296875,30547500,53999500
2024-02-21,195.6386260986328,423.095703125,197.94000244140625,425.6099853515625,198.35000610351562,425.70001220703125,196.38999938964844,421.6300048828125,197.66000366210938,424.54998779296875,28821500,50179700
2024-02-22,197.1211700439453,435.4820556640625,199.44000244140625,438.07000732421875,200.08999633789062,439.1199951171875,197.80999755859375,433.7099914550781,198.64999389648438,434.489990234375,38184700,53887800
2024-02-23,197.56594848632812,434.1996765136719,199.88999938964844,436.7799987792969,201.13999938964844,440.5899963378906,198.57000732421875,435.7900085449219,199.60000610351562,439.6499938964844,37667700,39853900
2024-02-26,198.81129455566406,433.9710388183594,201.14999389648438,436.54998779296875,201.63999938964844,438.6000061035156,199.14999389648438,436.3599853515625,199.69000244140625,437.6000061035156,29118200,33043200
2024-02-27,201.628173828125,435.0148620605469,204.0,437.6000061035156,204.22000122070312,437.989990234375,202.5399932861328,435.0299987792969,203.0800018310547,437.6700134277344,32268600,33713200
2024-02-28,199.9676971435547,432.6986389160156,202.32000732421875,435.2699890136719,203.86000061035156,436.6700134277344,201.8699951171875,434.29998779296875,202.44000244140625,435.42999267578125,30143900,32938800
2024-02-29,201.36129760742188,436.4065856933594,203.72999572753906,439.0,206.0399932861328,440.0899963378906,202.52000427246094,435.0199890136719,205.17999267578125,438.2300109863281,40404100,42495200
2024-03-01,203.49620056152344,442.9775390625,205.88999938964844,445.6099853515625,206.3300018310547,446.5799865722656,203.13999938964844,439.8399963378906,204.52999877929688,439.8999938964844,35131200,43809200
2024-03-04,203.30838012695312,441.39691162109375,205.6999969482422,444.0199890136719,207.77000427246094,446.0400085449219,205.4499969482422,443.7699890136719,207.02999877929688,445.6099853515625,24785400,34325700
2024-03-05,201.36129760742188,433.4739685058594,203.72999572753906,436.04998779296875,205.91000366210938,440.95001220703125,203.00999450683594,433.6499938964844,204.3000030517578,440.94000244140625,34163500,57917100
2024-03-06,202.86363220214844,436.19781494140625,205.25,438.7900085449219,206.0800018310547,441.989990234375,204.0800018310547,436.8900146484375,206.02999877929688,440.32000732421875,34255200,46234500
2024-03-07,204.5537567138672,442.8185119628906,206.9600067138672,445.45001220703125,208.10000610351562,446.7200012207031,206.39999389648438,440.8599853515625,206.6999969482422,442.4200134277344,28020200,44526700
2024-03-08,204.42526245117188,436.42645263671875,206.8300018310547,439.0199890136719,210.41000366210938,448.6400146484375,205.8000030517578,438.3399963378906,208.74000549316406,445.80999755859375,41430500,71954300
